Year,Film ,Genre,Domestic Gross
2007,300,Action,210.61
2007,3:10 to Yuma,Western,53.61
2007,Across the Universe,Romance,24.34
2007,Alien vs. Predator -- Requiem,Horror,41.8
2007,Alvin and the Chipmunks,Animation,217.33
2007,American Gangster,Thriller,130.16
2007,Bee Movie,Animation,126.63
2007,Beowulf,Action,82.2
2007,Blades of Glory,Comedy,118.59
2007,Charlie Wilson's War,Biography,66.66
2007,Daddy Day Camp,Comedy,13.24
2007,Disturbia,Thriller,80.21
2007,Dragon Wars (aka D-War),Action,10.98
2007,Enchanted,Comedy,127.81
2007,Epic Movie,Comedy,39.74
2007,Evan Almighty,Comedy,100.46
2007,Fantastic Four: Rise of the Silver Surfer,Action,131.92
2007,Ghost Rider,Action,115.8
2007,Good Luck Chuck,Comedy,35.02
2007,Grindhouse,Action,25.04
2007,Hairspray,Musical,118.87
2007,Halloween,Horror,58.27
2007,Happily N'Ever After,Animation,15.59
2007,Harry Potter and the Order of the Phoenix,Adventure,292
2007,Hitman,Action,39.69
2007,Hostel: Part II,Horror,17.61
2007,I Am Legend,Thriller,256.39
2007,I Now Pronounce You Chuck and Larry,Comedy,120.06
2007,In the Land of Women,Comedy,11.05
2007,Into the Wild,Drama,18.35
2007,Juno,Comedy,143.5
2007,Knocked Up,Comedy,148.77
2007,License to Wed,Comedy,43.8
2007,Lions for Lambs,Drama,15
2007,Live Free or Die Hard,Action,134.53
2007,Meet the Robinsons,Animation,97.82
2007,Michael Clayton,Thriller,49.03
2007,Mr. Brooks,Thriller,28.55
2007,Mr. Magorium's Wonder Emporium,Fantasy,32.06
2007,Music and Lyrics,Romance,50.57
2007,Nancy Drew,Thriller,25.61
2007,National Treasure: Book of Secrets,Thriller,219.96
2007,Next,Thriller,18.21
2007,No Country for Old Men,Drama,74.28
2007,No Reservations,Comedy,43.11
2007,Norbit,Comedy,95.67
2007,Ocean's 13,Thriller,117.15
2007,P.S. I Love You,Romance,53.7
2007,Pathfinder: Legend of the Ghost Warrior,Action,10.23
2007,Pirates of the Caribbean: At World's End,Action,309.42
2007,Premonition,Drama,47.85
2007,Ratatouille,Animation,206.45
2007,Rush Hour 3,Action,140.13
2007,Saw IV,Horror,63.3
2007,Shoot 'Em Up,Action,12.81
2007,Shooter,Action,47
